"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Baeolophus bicolor","Baeolophus bicolor","species","Mésange bicolore","Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus bicolor"
"Lepus americanus","Lepus americanus","species","Lièvre d'amérique","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus americanus"
"Rangifer tarandus","Rangifer tarandus","species","Caribou","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus"
"Dolichonyx oryzivorus","Dolichonyx oryzivorus","species","Goglu des prés","Animalia","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx","Dolichonyx oryzivorus"
"Aquila chrysaetos","Aquila chrysaetos","species","Aigle royal","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos"
"Ambloplites rupestris","Ambloplites rupestris","species","Crapet de roche","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Ambloplites","Ambloplites rupestris"
"Perca flavescens","Perca flavescens","species","Perchaude","Animalia","Chordata","Teleostei","Perciformes","Percidae","Perca","Perca flavescens"
"Notemigonus crysoleucas","Notemigonus crysoleucas","species","Méné jaune","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notemigonus","Notemigonus crysoleucas"
"Buteo lagopus","Buteo lagopus","species","Buse pattue","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lagopus"
"Accipiter gentilis","Accipiter gentilis","species","Autour des palombes","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis"
"Accipiter cooperii","Accipiter cooperii","species","Epervier de cooper","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii"
"Accipiter striatus","Accipiter striatus","species","Epervier brun","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus"
"Morone chrysops","Morone chrysops","species","Bar blanc","Animalia","Chordata","Teleostei","Perciformes","Moronidae","Morone","Morone chrysops"
"Martes americana","Martes americana","species","Martre d'amérique","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Martes","Martes americana"
"Lynx rufus","Lynx rufus","species","Lynx roux","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"Ursus americanus","Ursus americanus","species","Ours noir","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus"
"Odocoileus virginianus","Odocoileus virginianus","species","Cerf de Virginie","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus"
"Castor canadensis","Castor canadensis","species","Castor","Animalia","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis"
"Cyprinus carpio","Cyprinus","genus","Cyprin","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
