"auteur1","auteur2","articleID"
"Quentin Ponette","Hervé Jactel","grossman2018"
"Peter B. Reich","Hervé Jactel","grossman2018"
"Andreas Schuldt","Hervé Jactel","grossman2018"
"Michael Staab","Hervé Jactel","grossman2018"
"Martin Weih","Hervé Jactel","grossman2018"
"Delphine Clara Zemp","Hervé Jactel","grossman2018"
"Michael Scherer-Lorenzen","Hervé Jactel","grossman2018"
"Kris Verheyen","Hervé Jactel","grossman2018"
"Jake J. Grossman","Holger Kreft","grossman2018"
"Margot Vanhellemont","Holger Kreft","grossman2018"
"Nadia Barsoum","Holger Kreft","grossman2018"
"Jürgen Bauhus","Holger Kreft","grossman2018"
"Helge Bruelheide","Holger Kreft","grossman2018"
"Bastien Castagneyrol","Holger Kreft","grossman2018"
"Jeannine Cavender-Bares","Holger Kreft","grossman2018"
"Nico Eisenhauer","Holger Kreft","grossman2018"
"Olga Ferlian","Holger Kreft","grossman2018"
"Dominique Gravel","Holger Kreft","grossman2018"
"Andy Hector","Holger Kreft","grossman2018"
"Hervé Jactel","Holger Kreft","grossman2018"
"Simone Mereu","Holger Kreft","grossman2018"
"Christian Messier","Holger Kreft","grossman2018"
"Bart Muys","Holger Kreft","grossman2018"
"Charles Nock","Holger Kreft","grossman2018"
"Alain Paquette","Holger Kreft","grossman2018"
"John Parker","Holger Kreft","grossman2018"
"Michael P. Perring","Holger Kreft","grossman2018"
"Quentin Ponette","Holger Kreft","grossman2018"
"Peter B. Reich","Holger Kreft","grossman2018"
"Andreas Schuldt","Holger Kreft","grossman2018"
"Michael Staab","Holger Kreft","grossman2018"
"Martin Weih","Holger Kreft","grossman2018"
"Delphine Clara Zemp","Holger Kreft","grossman2018"
"Michael Scherer-Lorenzen","Holger Kreft","grossman2018"
"Kris Verheyen","Holger Kreft","grossman2018"
"Jake J. Grossman","Simone Mereu","grossman2018"
"Margot Vanhellemont","Simone Mereu","grossman2018"
"Nadia Barsoum","Simone Mereu","grossman2018"
"Jürgen Bauhus","Simone Mereu","grossman2018"
"Helge Bruelheide","Simone Mereu","grossman2018"
"Bastien Castagneyrol","Simone Mereu","grossman2018"
"Jeannine Cavender-Bares","Simone Mereu","grossman2018"
"Nico Eisenhauer","Simone Mereu","grossman2018"
"Olga Ferlian","Simone Mereu","grossman2018"
"Dominique Gravel","Simone Mereu","grossman2018"
"Andy Hector","Simone Mereu","grossman2018"
"Hervé Jactel","Simone Mereu","grossman2018"
"Holger Kreft","Simone Mereu","grossman2018"
"Christian Messier","Simone Mereu","grossman2018"
"Bart Muys","Simone Mereu","grossman2018"
"Charles Nock","Simone Mereu","grossman2018"
"Alain Paquette","Simone Mereu","grossman2018"
"John Parker","Simone Mereu","grossman2018"
"Michael P. Perring","Simone Mereu","grossman2018"
"Quentin Ponette","Simone Mereu","grossman2018"
"Peter B. Reich","Simone Mereu","grossman2018"
"Andreas Schuldt","Simone Mereu","grossman2018"
"Michael Staab","Simone Mereu","grossman2018"
"Martin Weih","Simone Mereu","grossman2018"
"Delphine Clara Zemp","Simone Mereu","grossman2018"
"Michael Scherer-Lorenzen","Simone Mereu","grossman2018"
"Kris Verheyen","Simone Mereu","grossman2018"
"Jake J. Grossman","Christian Messier","grossman2018"
"Margot Vanhellemont","Christian Messier","grossman2018"
"Nadia Barsoum","Christian Messier","grossman2018"
"Jürgen Bauhus","Christian Messier","grossman2018"
"Helge Bruelheide","Christian Messier","grossman2018"
"Bastien Castagneyrol","Christian Messier","grossman2018"
"Jeannine Cavender-Bares","Christian Messier","grossman2018"
"Nico Eisenhauer","Christian Messier","grossman2018"
"Olga Ferlian","Christian Messier","grossman2018"
"Dominique Gravel","Christian Messier","grossman2018"
"Andy Hector","Christian Messier","grossman2018"
"Hervé Jactel","Christian Messier","grossman2018"
"Holger Kreft","Christian Messier","grossman2018"
"Simone Mereu","Christian Messier","grossman2018"
"Bart Muys","Christian Messier","grossman2018"
"Charles Nock","Christian Messier","grossman2018"
"Alain Paquette","Christian Messier","grossman2018"
"John Parker","Christian Messier","grossman2018"
"Michael P. Perring","Christian Messier","grossman2018"
"Quentin Ponette","Christian Messier","grossman2018"
"Peter B. Reich","Christian Messier","grossman2018"
"Andreas Schuldt","Christian Messier","grossman2018"
"Michael Staab","Christian Messier","grossman2018"
"Martin Weih","Christian Messier","grossman2018"
"Delphine Clara Zemp","Christian Messier","grossman2018"
"Michael Scherer-Lorenzen","Christian Messier","grossman2018"
"Kris Verheyen","Christian Messier","grossman2018"
"Jake J. Grossman","Bart Muys","grossman2018"
"Margot Vanhellemont","Bart Muys","grossman2018"
"Nadia Barsoum","Bart Muys","grossman2018"
"Jürgen Bauhus","Bart Muys","grossman2018"
"Helge Bruelheide","Bart Muys","grossman2018"
"Bastien Castagneyrol","Bart Muys","grossman2018"
"Jeannine Cavender-Bares","Bart Muys","grossman2018"
"Nico Eisenhauer","Bart Muys","grossman2018"
"Olga Ferlian","Bart Muys","grossman2018"
"Dominique Gravel","Bart Muys","grossman2018"
"Andy Hector","Bart Muys","grossman2018"
"Hervé Jactel","Bart Muys","grossman2018"
"Holger Kreft","Bart Muys","grossman2018"
"Simone Mereu","Bart Muys","grossman2018"
"Christian Messier","Bart Muys","grossman2018"
"Charles Nock","Bart Muys","grossman2018"
"Alain Paquette","Bart Muys","grossman2018"
"John Parker","Bart Muys","grossman2018"
"Michael P. Perring","Bart Muys","grossman2018"
"Quentin Ponette","Bart Muys","grossman2018"
"Peter B. Reich","Bart Muys","grossman2018"
"Andreas Schuldt","Bart Muys","grossman2018"
"Michael Staab","Bart Muys","grossman2018"
"Martin Weih","Bart Muys","grossman2018"
"Delphine Clara Zemp","Bart Muys","grossman2018"
"Michael Scherer-Lorenzen","Bart Muys","grossman2018"
"Kris Verheyen","Bart Muys","grossman2018"
"Jake J. Grossman","Charles Nock","grossman2018"
"Margot Vanhellemont","Charles Nock","grossman2018"
"Nadia Barsoum","Charles Nock","grossman2018"
"Jürgen Bauhus","Charles Nock","grossman2018"
"Helge Bruelheide","Charles Nock","grossman2018"
"Bastien Castagneyrol","Charles Nock","grossman2018"
"Jeannine Cavender-Bares","Charles Nock","grossman2018"
"Nico Eisenhauer","Charles Nock","grossman2018"
"Olga Ferlian","Charles Nock","grossman2018"
"Dominique Gravel","Charles Nock","grossman2018"
"Andy Hector","Charles Nock","grossman2018"
"Hervé Jactel","Charles Nock","grossman2018"
"Holger Kreft","Charles Nock","grossman2018"
"Simone Mereu","Charles Nock","grossman2018"
"Christian Messier","Charles Nock","grossman2018"
"Bart Muys","Charles Nock","grossman2018"
"Alain Paquette","Charles Nock","grossman2018"
"John Parker","Charles Nock","grossman2018"
"Michael P. Perring","Charles Nock","grossman2018"
"Quentin Ponette","Charles Nock","grossman2018"
"Peter B. Reich","Charles Nock","grossman2018"
"Andreas Schuldt","Charles Nock","grossman2018"
"Michael Staab","Charles Nock","grossman2018"
"Martin Weih","Charles Nock","grossman2018"
"Delphine Clara Zemp","Charles Nock","grossman2018"
"Michael Scherer-Lorenzen","Charles Nock","grossman2018"
"Kris Verheyen","Charles Nock","grossman2018"
"Jake J. Grossman","Alain Paquette","grossman2018"
"Margot Vanhellemont","Alain Paquette","grossman2018"
"Nadia Barsoum","Alain Paquette","grossman2018"
"Jürgen Bauhus","Alain Paquette","grossman2018"
"Helge Bruelheide","Alain Paquette","grossman2018"
"Bastien Castagneyrol","Alain Paquette","grossman2018"
"Jeannine Cavender-Bares","Alain Paquette","grossman2018"
"Nico Eisenhauer","Alain Paquette","grossman2018"
"Olga Ferlian","Alain Paquette","grossman2018"
"Dominique Gravel","Alain Paquette","grossman2018"
"Andy Hector","Alain Paquette","grossman2018"
"Hervé Jactel","Alain Paquette","grossman2018"
"Holger Kreft","Alain Paquette","grossman2018"
"Simone Mereu","Alain Paquette","grossman2018"
"Christian Messier","Alain Paquette","grossman2018"
"Bart Muys","Alain Paquette","grossman2018"
"Charles Nock","Alain Paquette","grossman2018"
"John Parker","Alain Paquette","grossman2018"
"Michael P. Perring","Alain Paquette","grossman2018"
"Quentin Ponette","Alain Paquette","grossman2018"
"Peter B. Reich","Alain Paquette","grossman2018"
"Andreas Schuldt","Alain Paquette","grossman2018"
"Michael Staab","Alain Paquette","grossman2018"
"Martin Weih","Alain Paquette","grossman2018"
"Delphine Clara Zemp","Alain Paquette","grossman2018"
