"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Oeneis nevadensis","Oeneis nevadensis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis nevadensis"
"Erebia vidleri","Erebia vidleri","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia vidleri"
"Erynnis afranius","Erynnis afranius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis afranius"
"Urbanus proteus","Urbanus proteus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Urbanus","Urbanus proteus"
"Anartia jatrophae","Anartia jatrophae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Anartia","Anartia jatrophae"
"Heliconius charithonia","Heliconius charithonia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Heliconius","Heliconius charithonia"
"Lycaena dospassosi","Lycaena dospassosi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Epidemia","Lycaena dospassosi"
"Pompeius verna","Pompeius verna","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pompeius","Pompeius verna"
"Celastrina","Celastrina","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina",""
"Colias","Colias","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias",""
"Boloria","Boloria","subgenus","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",""
"Aglais io","Aglais io","species","Paon du jour","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","Aglais io"
"Oeneis bore","Oeneis bore","species","Chamoisé boréal","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis bore"
"Boloria polaris","Boloria polaris","species","Nacré polaire","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria polaris"
"Boloria chariclea","Boloria chariclea","species","Nacré lapon","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria chariclea"
"Euchloe olympia","Euchloe olympia","species","Olympe","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Euchloe","Euchloe olympia"
"Coenonympha nipisiquit","Coenonympha inornata","species","Satyre fauve","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha inornata"
"Euptoieta claudia","Euptoieta claudia","species","Fritillaire panachée","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euptoieta","Euptoieta claudia"
"Euphyes dion","Euphyes dion","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes dion"
"Satyrium","Satyrium","genus","","Plantae","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium",""
"Hesperia comma","Hesperia comma","species","Virgule","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia comma"
"Plebejus melissa","Plebejus melissa","species","Bleu mélissa","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus melissa"
"Speyeria atlantis","Speyeria atlantis","species","Argynne de l'atlantique","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria atlantis"
"Asterocampa celtis","Asterocampa celtis","species","Papillon du micocoulier","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Asterocampa","Asterocampa celtis"
"Satyrium calanus","Satyrium calanus","species","Porte-queue du chêne","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium calanus"
"Satyrium edwardsii","Satyrium edwardsii","species","Porte-queue d'edwards","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium edwardsii"
"Satyrium acadica","Satyrium acadica","species","Porte-queue d'acadie","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium acadica"
"Chlosyne harrisii","Chlosyne harrisii","species","Damier de harris","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne harrisii"
"Lethe appalachia","Lethe appalachia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe appalachia"
"Limenitis arthemis astyanax","Limenitis arthemis astyanax","subspecies","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis arthemis"
"Erynnis baptisiae","Erynnis baptisiae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis baptisiae"
"Erynnis horatius","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis horatius"
"Polygonia gracilis","Polygonia gracilis","species","Polygone gracile","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia gracilis"
"Callophrys eryphon","Callophrys eryphon","species","Lutin du pin gris","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Incisalia","Callophrys eryphon"
"Libytheana carinenta","Libytheana carinenta","species","Papillon longs-palpes","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Libytheana","Libytheana carinenta"
"Pyrgus communis","Pyrgus communis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus communis"
"Pyrisitia lisa","Pyrisitia lisa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pyrisitia","Pyrisitia lisa"
"Colias nastes","Colias nastes","species","Coliade verdâtre","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias nastes"
"Boloria frigga","Boloria frigga","species","Nacré boréal","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria frigga"
